descricao;energia_kcal;proteina_g;lipideos_g;colesterol_mg;carboidratos_g;fibra_g;calcio_mg;fosforo_mg;ferro_mg;sodio_mg;potassio_mg;vitamina_c_mg;tipo_alimento
Macarrão, molho bolognesa;120;4,9;0,9;7;22,5;0,8;11;54;1,4;9;84;Tr;13
Maniçoba;134;10,0;8,7;43;3,4;2,2;66;55;3,2;407;148;Tr;13
Quibebe;86;8,6;2,7;NA;6,6;1,7;8;43;0,8;247;153;Tr;13
Salada, de legumes, com maionese;96;1,1;7,0;7;8,9;2,2;12;22;0,2;228;141;Tr;13
Salada, de legumes, cozida no vapor;35;2,0;0,3;NA;7,1;2,5;33;45;0,4;3;244;29,4;13
Salpicão, de frango;148;13,9;7,8;53;4,6;0,4;9;103;0,3;248;149;9,3;13
Sarapatel;123;18,5;4,4;315;1,1;;12;164;7,2;216;199;Tr;13
Tabule;57;2,0;1,2;NA;10,6;2,1;19;35;0,6;1;188;16,2;13
Tacacá;47;7,0;0,4;71;3,4;0,2;45;89;0,9;1349;240;Tr;13
Tapioca, com manteiga;348;0,1;10,9;31;63,6;Tr;30;8;0,2;158;19;Tr;13
Tucupi, com pimenta-de-cheiro;27;2,1;0,3;NA;4,7;0,2;28;31;1,1;5;391;46,4;13
Vaca atolada;145;5,1;9,3;19;10,1;2,3;63;72;0,7;26;220;Tr;13
Vatapá;255;6,0;23,2;44;9,7;1,7;47;108;1,4;880;209;Tr;13
Virado à paulista;307;10,2;25,6;66;14,1;2,2;41;135;1,1;346;237;Tr;13
Yakisoba;113;7,5;2,6;NA;18,3;1,1;14;83;0,6;794;159;Tr;13
Amendoim, grão, cru;544;27,2;43,9;NA;20,3;8,0;Tr;407;2,5;Tr;580;Tr;14
Amendoim, torrado, salgado;606;22,5;54,0;NA;18,7;7,8;39;261;1,3;376;496;Tr;14
Ervilha, em vagem;88;7,5;0,5;NA;14,2;9,7;24;152;1,4;Tr;311;12,4;14
Ervilha, enlatada, drenada;74;4,6;0,4;NA;13,4;5,1;22;79;1,4;372;147; ;14
Feijão, carioca, cozido;76;4,8;0,5;NA;13,6;8,5;27;87;1,3;2;255;Tr;14
Feijão, carioca, cru;329;20,0;1,3;NA;61,2;18,4;123;385;8,0;Tr;1352; ;14
Feijão, fradinho, cozido;78;5,1;0,6;NA;13,5;7,5;17;85;1,1;1;253;Tr;14
Feijão, fradinho, cru;339;20,2;2,4;NA;61,2;23,6;78;355;5,1;10;1083;Tr;14
Feijão, jalo, cozido;93;6,1;0,5;NA;16,5;13,9;29;121;1,9;1;348;Tr;14
Feijão, jalo, cru;328;20,1;0,9;NA;61,5;30,3;98;427;7,0;25;1276;Tr;14
Feijão, preto, cozido;77;4,5;0,5;NA;14,0;8,4;29;88;1,5;2;256;Tr;14
Feijão, preto, cru;324;21,3;1,2;NA;58,8;21,8;111;471;6,5;Tr;1416; ;14
Feijão, rajado, cozido;85;5,5;0,4;NA;15,3;9,3;29;113;1,4;1;315;Tr;14
Feijão, rajado, cru;326;17,3;1,2;NA;62,9;24,0;111;335;18,6;14;1135;Tr;14
Feijão, rosinha, cozido;68;4,5;0,5;NA;11,8;4,8;19;90;1,2;2;241;Tr;14
Feijão, rosinha, cru;337;20,9;1,3;NA;62,2;20,6;68;394;5,3;24;1109;Tr;14
Feijão, roxo, cozido;77;5,7;0,5;NA;12,9;11,5;23;106;1,4;1;268;Tr;14
Feijão, roxo, cru;331;22,2;1,2;NA;60,0;33,8;120;394;6,9;10;1221;Tr;14
Grão-de-bico, cru;355;21,2;5,4;NA;57,9;12,4;114;342;5,4;5;1116;Tr;14
Guandu, cru;344;19,0;2,1;NA;64,0;21,3;129;269;1,9;2;1215;1,5;14
Lentilha, cozida;93;6,3;0,5;NA;16,3;7,9;16;104;1,5;1;220;Tr;14
Lentilha, crua;339;23,2;0,8;NA;62,0;16,9;54;368;7,0;Tr;887; ;14
Paçoca, amendoim;487;16,0;26,1;NA;52,4;7,3;22;198;1,1;167;348;Tr;14
Pé-de-moleque, amendoim;503;13,2;28,0;NA;54,7;3,4;27;171;1,3;16;355;Tr;14
Soja, farinha;404;36,0;14,6;NA;38,4;20,2;206;539;13,1;6;1922;Tr;14
Soja, extrato solúvel, natural, fluido;39;2,4;1,6;NA;4,3;0,4;17;53;0,4;57;121;Tr;14
Soja, extrato solúvel, pó;459;35,7;26,2;NA;28,5;7,3;359;647;7,0;83;1607;9,2;14
Soja, queijo (tofu);64;6,6;4,0;NA;2,1;0,8;81;130;1,4;1;182;Tr;14
Tremoço, cru;381;33,6;10,3;NA;43,8;32,3;177;265;2,8;3;708;25,0;14
Tremoço, em conserva;121;11,1;3,8;NA;12,4;14,4;16;40;0,3;1809;5;Tr;14
Amêndoa, torrada, salgada;581;18,6;47,3;NA;29,5;11,6;237;493;3,1;279;640;Tr;15
Castanha-de-caju, torrada, salgada;570;18,5;46,3;NA;29,1;3,7;33;594;5,2;125;671;Tr;15
Castanha-do-Brasil, crua;643;14,5;63,5;NA;15,1;7,9;146;853;2,3;1;651;Tr;15
Coco, cru;406;3,7;42,0;NA;10,4;5,4;6;118;1,8;15;354;2,5;15
Coco,  verde, cru;*;*;*;*;*;*;*;*;*;*;*;*;15
Farinha, de mesocarpo de babaçu, crua;329;1,4;0,2;NA;79,2;17,9;61;26;18,3;12;362;Tr;15
Gergelim, semente;584;21,2;50,4;NA;21,6;11,9;825;741;5,4;3;546;Tr;15
Linhaça, semente;495;14,1;32,3;NA;43,3;33,5;211;615;4,7;9;869;Tr;15
Pinhão, cozido;174;3,0;0,7;NA;43,9;15,6;16;166;0,8;1;727;27,7;15
Pupunha, cozida;219;2,5;12,8;NA;29,6;4,3;28;49;0,5;1;303;2,2;15
Noz, crua;620;14,0;59,4;NA;18,4;7,2;105;396;2,0;5;533;Tr;15
