descricao;energia_kcal;proteina_g;lipideos_g;colesterol_mg;carboidratos_g;fibra_g;calcio_mg;fosforo_mg;ferro_mg;sodio_mg;potassio_mg;vitamina_c_mg;tipo_alimento
Alface, roxa, crua;13;0,9;0,2;NA;2,5;2,0;34;51;2,5;7;308;13,5;2
Alfavaca, crua;29;2,7;0,5;NA;5,2;4,1;258;50;1,3;5;261;Tr;2
Alho, cru;113;7,0;0,2;NA;23,9;4,3;14;149;0,8;5;535;*;2
Alho-poró, cru;32;1,4;0,1;NA;6,9;2,5;34;36;0,6;2;224;14,1;2
Almeirão, cru;18;1,8;0,2;NA;3,3;2,6;19;40;0,7;2;369;1,7;2
Almeirão, refogado;65;1,7;4,8;NA;5,7;3,4;63;31;1,6;15;315;1,5;2
Batata, baroa, cozida;80;0,9;0,2;NA;18,9;1,8;12;29;0,4;2;258;17,1;2
Batata, baroa, crua;101;1,0;0,2;NA;24,0;2,1;17;45;0,3;Tr;505;7,6;2
Batata, doce, cozida;77;0,6;0,1;NA;18,4;2,2;17;15;0,2;3;148;23,8;2
Batata, doce, crua;118;1,3;0,1;NA;28,2;2,6;21;36;0,4;9;340;16,5;2
Batata, frita, tipo chips, industrializada;543;5,6;36,6;NA;51,2;2,5;12;96;0,7;607;1014;Tr;2
Batata, inglesa, cozida;52;1,2;Tr;NA;11,9;1,3;4;24;0,2;2;161;3,8;2
Batata, inglesa, crua;64;1,8;Tr;NA;14,7;1,2;4;39;0,4;Tr;302;31,1;2
Batata, inglesa, frita;267;5,0;13,1;NA;35,6;8,1;6;70;0,4;2;489;16,3;2
Batata, inglesa, sauté;68;1,3;0,9;NA;14,1;1,4;4;32;0,3;8;199;Tr;2
Berinjela, cozida;19;0,7;0,1;NA;4,5;2,5;11;15;0,2;1;105;Tr;2
Berinjela, crua;20;1,2;0,1;NA;4,4;2,9;9;20;0,2;Tr;205;3,0;2
Beterraba, cozida;32;1,3;0,1;NA;7,2;1,9;15;30;0,2;23;245;1,2;2
Beterraba, crua;49;1,9;0,1;NA;11,1;3,4;18;19;0,3;10;375;3,1;2
Biscoito, polvilho doce;438;1,3;12,2;9;80,5;1,2;30;23;1,8;98;54;Tr;2
Brócolis, cozido;25;2,1;0,5;NA;4,4;3,4;51;33;0,5;2;119;42,0;2
Brócolis, cru;25;3,6;0,3;NA;4,0;2,9;86;78;0,6;3;322;34,3;2
Cará, cozido;78;1,5;0,1;NA;18,9;2,6;5;28;0,3;1;203;Tr;2
Cará, cru;96;2,3;0,1;NA;23,0;7,3;4;35;0,2;Tr;212;8,8;2
Caruru, cru;34;3,2;0,6;NA;6,0;4,5;455;77;4,5;14;279;5,4;2
Catalonha, crua;24;1,9;0,3;NA;4,8;2,0;57;32;3,1;9;412;7,3;2
Catalonha, refogada;63;2,0;4,8;NA;4,8;3,7;63;35;1,2;25;452;Tr;2
Cebola, crua;39;1,7;0,1;NA;8,9;2,2;14;38;0,2;1;176;4,7;2
Cebolinha, crua;20;1,9;0,4;NA;3,4;3,6;80;27;0,6;2;206;31,8;2
Cenoura, cozida;30;0,8;0,2;NA;6,7;2,6;26;27;0,1;8;176;Tr;2
Cenoura, crua;34;1,3;0,2;NA;7,7;3,2;23;28;0,2;3;315;5,1;2
Chicória, crua;14;1,1;0,1;NA;2,9;2,2;45;13;0,5;14;425;6,5;2
Chuchu, cozido;19;0,4;Tr;NA;4,8;1,0;8;13;0,1;2;54;5,6;2
Chuchu, cru;17;0,7;0,1;NA;4,1;1,3;12;18;0,2;Tr;126;10,6;2
Coentro, folhas desidratadas;309;20,9;10,4;NA;48,0;37,3;784;388;81,4;18;3223;40,8;2
Couve, manteiga, crua;27;2,9;0,5;NA;4,3;3,1;131;49;0,5;6;403;96,7;2
